"id","name","description","style_id","glass_id","glass_name","label","availability_id","availability_name","is_organic"
"jYBtXz","Ommegang Abbey Ale","Ommegang Abbey Ale is directly influenced by the patience and wisdom of the Trappists, who ever seek divine uniona pretty high standard for a beer, but a good one, we think. Our first ever beer, with which we opened the doors in 1997, and still one of our two bests sellers. Deep burgundy color, rich and malty, with aromas of anise, fresh apricot, chocolate and honey, topped by a dense tan head. Rich on the palate but with a dry finish. Develops wonderful caramel, fig, and currant notes with age. Enjoy Ommegang Abbey Ale with savory dishes, slow-cooked pork, marinated roasts, barbeque, rich cheeses, and almost every dessert. Ommegang Abbey Ale has been recognized many times, most recently with a gold medal at the 2010 World Beer Cup.","58","Goblet","Goblet","","1","Year Round","N"
"VSrDho","Modelo especial","Handcrafted with all-natural ingredients, Modelo Especial has built a solid reputation as a classic, thirst-quenching beer. The brand represents the can-package of Grupo Modelo's portfolio and is also available in non-returnable bottles.Modelo Especial is a must for those looking to capture the flavor of Mexico. Modelo Especial has 145 calories per 12 ounce serving.""","94","","","","","","N"
"EKa7pD","Murphs Irish Red","Named for our #1 Beer Man, Nick Murphy, this deep malty Irish amber ale is relaxed and easy going. A change of pace from our usual hop bombs, this beer is sure to put a smile on the face of any Irishman! Who needs a pot o gold when you got yerself a pint o red?","22","","","","4","Seasonal","N"
"czwGMM","Brawler","Boasting superior taste and champion flavor, the Brawler is crafted in the style of English session ales. This malt-forward, ruby colored ale is great for when you want to go a few rounds.","3","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/czwGMM/upload_lQMT0F-large.png","1","Year Round","N"
"Jqf7xZ","St. Pauli Girl Lager","If you like a Girl that has a deep golden color, distinctive full-bodied taste and ""hoppy"" aroma, then the Lager is for you. This Girl has been a Gold Medal winner for the American Tasting Institute Best Full Calorie German Lager.","78","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/Jqf7xZ/upload_GlMq88-large.png","1","Year Round","N"
"Yq3v6n","Guinness Black Lager","Guinness Black lager is a cold-brewed with roasted barley to deliver the refreshing taste of lager with the unique character of Guinness.  Enjoy ice cold straight form the bottle.","84","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/Yq3v6n/upload_dzu7NB-large.png","","","N"
"ztJYpI","Harp Lager","The best selling premium irish import lager in the world today.  This rich, golden pilsner style lager, with a smooth, refreshing hoppy taste, is brewed the irish way, using only the finest barley and pure spring water from the Cooley Mountains of Dundalk, Ireland.","97","Pilsner","Pilsner","http://s3.amazonaws.com/brewerydbapi/beer/ztJYpI/upload_1QM1uw-large.png","1","Year Round","N"
"kf7ol8","Old Brewery Pale Ale","Brewed with well water (the original well at the Old Brewery, sunk in 1758, is still in use, with the hard well water being drawn from 85 feet underground); best barley malt, yeast and aromatic hops; fermented in stone Yorkshire squares to create a full, rounded flavour and after-taste.

Serving Suggestions  Old Brewery Pale Ale drinks well with foods like: roast beef and Yorkshire pudding; roast chicken; cheese; smoked salmon; crab salad; bouillabaisse; sushi; steak; spicy foods like Tandoori and Balti cuisine.

Ingredients  Water, malted barley, yeast, hops, seaweed finings, carbon dioxide.

Best served at about 51F (11C).","3","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/kf7ol8/upload_jMHO4J-large.png","","","N"
"IDlepc","Beck's","German Pilsner beer, with quite a bit of hops taste.","75","","","http://s3.amazonaws.com/brewerydbapi/beer/IDlepc/upload_ZbAv8k-large.png","1","Year Round","N"
"Oa5lvx","Harvest Moon Pumpkin Ale","This amber-colored, naturally pumpkin flavored ale is brewed only in the autumn and combines the flavor of vine-ripened pumpkin and spices. If you're in the mood for something unique and different to go along with the change of season, autumn is the perfect time to try Blue Moon Pumpkin Ale. 

Available mid-September through December.","124","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/Oa5lvx/upload_gnJt8C-large.png","4","Seasonal","N"
"1INeXj","Namaste","A Belgian-style White made with dried organic orange slices, fresh cut lemongrass and a bit of coriander. This beer is a great summer quencher.

Namaste was originally brewed at our brewpub in with our friend Leo from Birra del Borgo in Italy as a tribute to our friends at 3 Fonteinen brewery in Belgium, who had devastating production loss (1/3 of their annual production!) at their brewery in 2009.","70","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/1INeXj/upload_kYEpyz-large.png","2","Limited","N"
"icSARl","ta henket","This ancient beer is brewed with Za'atar, Doum Fruit, Chamomile, Emmer Farro', and Free-range Egyptian Yeast","125","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/icSARl/upload_VKYK6o-large.png","2","Limited","N"
"eAvRRc","Positive Contact","Ale brewed with apple cider and spices.  Ap positive combination of Fuji cider, slow-roasted faro, a bit of cayenne and fresh cilantro","124","","","http://s3.amazonaws.com/brewerydbapi/beer/eAvRRc/upload_QD4XNU-large.png","2","Limited","N"
"B1CQlI","Genesee Cream Ale","The goal was simple: a beer with the flavor of an ale and the smoothness of a lager. That's how Genesee Cream Ale (the brainchild of this brewery) became an American original. Today, every batch of Cream Ale is skillfully brewed to achieve its smooth character and a remarkably creamy white head worthy of its name.","109","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/B1CQlI/upload_Vs557u-large.png","1","Year Round","N"
"mlcTPZ","Icehouse","America's first domestic ice beer, Icehouse is traditionally brewed, fermented and, just before aging, its temperature is lowered to below freezing. This process imparts the beer's smoothness and an alcohol content that's slightly higher (5.5% by volume) than other regular premium beer brands. Icehouse was introduced in 1993 and has reinforced its position as the ultimate beer for wind-up and pre-game occasions. Blending humor and high-energy excitement, Icehouse marketing encourages its target consumers to take occasions to the next level with a great-tasting beer.","94","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/mlcTPZ/upload_XgCD5E-large.png","1","Year Round","N"
"7ET5OY","Newcastle Brown Ale","Newcastle Brown Ale is traditionally sold in England by the pint (20 fl oz, 568 ml) and more recently in 550 ml (19.4 fl oz, 0.97 pint) bottles. Typically the ale is consumed from a 12 fl oz Wellington glass. This allows the drinker to regularly top-up the beer and thereby maintain a frothy ""head."" In the United States, it is also sold in standard 12 fl oz (355 ml) bottles. In April 2010, Heineken USA introduced the Wellington glass, branded as the ""Geordie Schooner,"" for Newcastle Brown Ale consumers in America. The pint glass features a nucleated base.","12","Mug","Mug","http://s3.amazonaws.com/brewerydbapi/beer/7ET5OY/upload_GTrp7h-large.png","1","Year Round","N"
"rRSMZw","Samuel Adams Blackberry Witbier","Our take on a classic witbier brewed with Oregon Marion blackberries to give the beer a subtle sweetness.

To create our version of the traditional witbier style, we wanted to complement the styles natural wheat and traditional citrus flavors with the sweetness and tartness of blackberries.  We looked for the perfect variety of blackberries that could offer the balance in flavor without becoming overpowering.  The Oregon Marion blackberries were the perfect fit; selected from family farms located at the foot of the Oregon Trail and Cascade Mountains in Western Oregon, where they have been growing some of the best blackberries in the world for generations.  The blackberries are brought together with a hint of traditional orange and coriander to complement the malt character and give a smooth finish thats both sweet and tart.","65","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/rRSMZw/upload_dI8l9i-large.png","1","Year Round","N"
"r5kixF","Jahrhundert-Bier","The invention of refrigeration allowed lagers to be shipped long distances. Dortmund, in Westphalia, was the first German city to develop the ""Dortmund"" or ""Export"" style of brewing. This beer was first brewed to commemorate one century of brewing in Aying Bavaria, in 1978.

Golden, big herbaceous bouquet with a soft, medium body and a long lingering finish with dry hop tones. This light lager is a better complement to food than the higher hopped and more bitter pilsner style.","79","Willi","Willi","","","","N"
"ARtfG8","Milwaukee's Best Light","Milwaukee's Best Light is Miller Brewing Company's lead low-calorie brand in the near-premium segment. Brewed to uncompromising standards using select pale malt, cereal grains and yeast, this is a smooth, highly drinkable beer at an affordable price. Available nationwide, Miller first rolled out Milwaukee's Best Light in 1986 with an ambition to become the beer choice for guys. Our marketing, including sponsorship with the World Series of Poker and award-winning TV spots, takes a humorous approach to reinforce the idea that \Men should act like men and light beer should taste like beer.""""""""","94","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/ARtfG8/upload_hXpovO-large.png","1","Year Round","N"
"3aK2Wk","Toasted Lager","The best thing to come out of a brick oven since pizza. Well, weve upgraded from our original direct-fire brick kettle, but our flagship Toasted Lager still has the same toasted flavor it was named for. Copper in color, our most popular and unique brew is made from six different malts, including English Pale, Crystal, Munich, Carapils, Wheat, and Belgian Caravienna. Toasted Lagers balanced flavor of malt and hops makes for easy drinking and the special lager yeast we use produces an exceptional, long-lasting smooth finish.","97","Pint","Pint","","1","Year Round","N"
"WJ6Kfn","Labatt Blue Light","Labatt Blue Light was introduced in 1983 as a lower alcohol, lower calorie version of Canada's most popular brand. Blue Light uses specially selected North American aromatic hops and the same strain of lager yeast as the one used to produce Labatt Blue. The result is a crisp, clean and delicately balanced beer, with a slight sweetness and citrus-like hop character.","94","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/WJ6Kfn/upload_Klr2gj-large.png","1","Year Round","N"
"XcvLTe","Coors Light","Coors Light is Coors Brewing Company's largest-selling brand and the fourth best-selling beer in the U.S. Introduced in 1978, Coors Light has been a favorite in delivering the ultimate in cold refreshment for more than 25 years. The simple, silver-toned can caught people's attention and the brew became nicknamed the \Silver Bullet""as sales climbed.""""""","94","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/XcvLTe/upload_9CAHwP-large.png","1","Year Round","N"
"g8M0qP","Blueberry Ale","Who knew that throwing some blueberries into a batch of beer one day would have worked out so well? While theres no Oompa-Loompas involved in its production; theres definitely something special that makes Blueberry Ale one of our top-sellers. First brewed in 1998, this delicious golden ale quickly became a year-round favorite. Our fresh Blueberry Ale offers an unusual twist on brewing that turns out to be a wonderful blend of fresh blueberries matched with a distinctive, thirst quenching ale. We carefully add 732 pounds of fresh, plump and juicy, handpicked, USA Northern Highbush Blueberries to every batch. Even before your first sip of Blueberry Ale, a strong, refreshing sweet fruit aroma emanates from the bottle, kicking your taste-buds into overdrive.","119","Pint","Pint","","1","Year Round","N"
"Tge86Y","Double White","What do brewmasters do in their free time? If you're Phil Markowski, the obsessive brewmaster of Southampton, you brew at home, of course! Phil turned his fascination with Belgian-style white ales into a quest to master one of the most challenging beers to brew. Using rustic ingredients like un-malted wheat, Phil experimented over his stove until he felt it was perfect. Take one taste and you'll agree, Phil got it white.","65","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/Tge86Y/upload_Zsl6Kh-large.png","1","Year Round","N"
"CJpcWg","Drop Top Amber Ale","Drop top is a rich, flavorful amber ale, with an exceptionally smooth and easy taste. Uniquely brewed with honey malt and just a touch of milk sugar, drop top's silky character yields complex flavors without a trace of harshness. It all adds up to a brew that's as easy to appreciate as it is to drink.","32","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/CJpcWg/upload_WatCq5-large.png","1","Year Round","N"
"Hyyhug","Samuel Adams Octoberfest","Brewed with five varieties of malted barley for a big, rich flavor.

The first thing you notice when pouring a glass of this seasonal beer is the color. Samuel Adams Octoberfest has a rich, deep reddish amber hue which itself is reflective of the season. Samuel Adams Octoberfest masterfully blends together five roasts of malt to create a delicious harmony of sweet flavors including caramel and toffee. The malt is complimented by the elegant bitterness imparted by the Bavarian Noble hops. Samuel Adams Octoberfest provides a wonderful transition from the lighter beers of summer to the heartier brews of winter.","81","Mug","Mug","http://s3.amazonaws.com/brewerydbapi/beer/Hyyhug/upload_LR4LOO-large.png","4","Seasonal","N"
"z4k3eU","Samuel Adams Boston Lager","Complex and balanced with a beautiful hop aroma.

Samuel Adams Boston Lager is an excellent example of the fundamentals of a great beer, offering a full, rich flavor that is both balanced and complex.  that unique flavor is the result of a perfect combination of our signature hand selected ingredients and a traditional four vessel brewing process.

Samuel Adams Boston Lager uses only the finest ingredients including two-row malted barley and Bavarian Noble hops.  The sole use of two-row barley not only imparts a full, smooth body but also gives the beer a wide spectrum of malt flavor ranging from slightly sweet to roasted.

We also take great pride in the Noble hops we use.  Theyre hand selected by Jim Koch and our brewers from the worlds oldest hop growing areas.  Although they are among the most expensive hops, their unmistakable aroma and taste is essential to Samuel Adams Boston Lager.  The Noble hop varieties of Hallertau Mittelfrueh and Tettnang Tettnanger add a wide range of floral, piney and citrus notes, which are present from the aroma, through the taste, and all the way to the lingering smooth finish.","97","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/z4k3eU/upload_aVywFW-large.png","1","Year Round","N"
"oNYN26","Canadian Light","Molson Canadian Light is brewed with more flavor, body and color than most light beers, and with fewer calories and slightly lower alcohol content than Molson Canadian.","94","Pint","Pint","","1","Year Round","N"
"m8UhZL","Full Nelson Pale Ale","Bursting with local hop flavor, our flagship Virginia Pale Ale features our own farm-grown Cascade variety hops as one of the key ingredients. A strong malt backbone gives this ale a rich taste and vibrant copper color, while the generous addition of hops contribute a pronounced bitterness and floral, citrus aroma.","30","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/m8UhZL/upload_0UYjwd-large.png","1","Year Round","N"
"Q1JGCH","Sam Adams Light","Great tasting with a clean, smooth finish.

Sam Adams Light is not just a lighter version of our Samuel Adams Boston Lager but rather the culmination of over two years of tireless research and brewing trials that proved to be worth the wait.  Brewed using only the finest two-row malt and Bavarian Noble hops it has a smooth, complex, roasted malt character that is superbly balanced with the subtle fruity notes of the Noble hops. Sam Adams Light has a crisp and smooth finish without any lingering bitterness, leaving you yearning for that next sip.","94","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/Q1JGCH/upload_RpJgQm-large.png","1","Year Round","N"
"vJCXKD","Coors Original","Coors beer, first introduced by Adolph Coors in April, 1874, is brewed in the Rockies for a uniquely crisp, clean and drinkable Mile High Taste.","94","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/vJCXKD/upload_4h11lv-large.png","1","Year Round","N"
"jfaN0S","Shiner Bock","Bock reflects the tradition of genuine Bavarian beers as a brew only a craftsman like Kosmos Spoetzl, trained in the ""Old Country,"" could bring to life. With its deep amber color, distinctive rich flavor and full body, Shiner Bock demonstrates the care of a handcrafted brewing process to bring forth a mellow taste free of the bitter aftertaste found in many micro, specialty and imported beers. Just think of it as Shiner smooth.","88","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/jfaN0S/upload_KQME4s-large.png","1","Year Round","N"
"YhTcbr","Genesee","For over 125 years Genesee (our brewery's first beer) has been an American icon. Today, every can, bottle and pint glass delivers the same full taste and quality that made it famous in 1878. Brewed with six-row barley malt, corn grits and hops from the Yakima Valley, Genesee Beer will forever be a classic.","93","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/YhTcbr/upload_t51lGs-large.png","1","Year Round","N"
"3qmbEr","Old Milwaukee","Old Milwaukee. A trusted, high quality beer that continually receives the highest awards and accolades from Beer experts across America. Old Milwaukee has a long history of celebrating \Blue Collar""sensibility. Simply said  integrity  hard work and love for your family.","97","","","http://s3.amazonaws.com/brewerydbapi/beer/3qmbEr/upload_r3G07m-large.png","","","N"
"yLBNrD","St Peter's Organic Ale","Water is extracted from our own 300 deep borehole and combined with Soil Association accredited light malted barley from Norfolk. Organic hops provide the distinctive palate. The yeast used is St. Peter's own single strand variety. The result is a delicate, clean, crisp, lightly carbonated, traditional English Ale with a full citrus hop aftertaste. This lovely beer won the Soil Association's top prize in 2002 and a silver medal in 2006.","3","","","","","","N"
"OJdDDq","Blackbeary Wheat","Light & refreshing with a hint of blackberry at the finish makes this beer a real thirst quencher. For the health conscious, Blackbeary Wheat has less than 6 grams of carbs and contains 0 fat.","112","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/OJdDDq/upload_WareeH-large.png","","","N"
"wNkoSQ","Genny Light","Genny Light is a true light beer. And with fewer than 100 calories per can, each one is as refreshing as the next. If you're looking for a smooth-drinking, light-bodied beer that goes down easy during any occasion, then Genny Light is for you.","94","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/wNkoSQ/upload_d6Hxo9-large.png","1","Year Round","N"
"eI5fN2","Pale Ale","This one was our first grocery store package. It is big, malty Pale Ale with a thirst-quenching hop flavor and a crispy clean finish.  WE revamped the recipe in 2008 to brighten up the hoppy kick.","3","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/eI5fN2/upload_itddtA-large.png","1","Year Round","N"
"szaXY1","Mean Old Tom","Our American-style stout aged on organic vanilla beans.  Intense notes of coffee and dark chocolate lead way to subtle notes of natural vanilla.  Flaked oats generate a silky mouthfeel.","42","Pint","Pint","https://s3.amazonaws.com/brewerydbapi/beer/szaXY1/upload_Oztu3N-large.png","1","Year Round","N"
"09IKmh","Labyrinth","Enter the Labyrinth, a multi-dimensional black ale. Discover the complex intermingling of black licorice and toasted oak. Seek the subtle hints of bittersweet chocolate. Explore pairing Labyrinth with flavorful cheeses and rich desserts.","43","Tulip","Tulip","http://s3.amazonaws.com/brewerydbapi/beer/09IKmh/upload_2BDyUX-large.png","1","Year Round","N"
"fA0O8C","Winter Storm - Category 5 Ale","Our winter ale brewed with copious helpings of English malts and both U.S. and English hops making it a ruddy hued Imperial ESB in style. Full malty flavors dancing with powerful hop aromas and a lingering yet firm hop bitterness.","5","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/fA0O8C/upload_bW6Y1d-large.png","4","Seasonal","N"
"Bt79WS","Loose Cannon","Burnished gold with a rich citrus hop aroma, it is wonderfully drinkable with a big hop flavor. Weve knicknamed it Hop3 (hop cubed) ale to reflect the enormous amount of hops in this beer: over 3 pounds per barrel! It is hopped 3 ways: in the kettle, in the hop back, and dry hopped. Pairs well with strong cheeses and steak. 2nd Place CAMRA award winner at the 2010 Great British Beer Festival","30","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/Bt79WS/upload_XxyZ5D-large.png","1","Year Round","N"
"O4MTYC","The Public","The PublicTM is a delicious easy drinking pale ale made from a simple recipe of quality grain and top notch American hops. Tawny hues of caramel and amber are a trademark of the Public ale as well as a delicious spruce crispness resulting from a beautiful abundance of hops! This beer will be produced throughout the year and serves as the foundation of our product line.","25","Tulip","Tulip","http://s3.amazonaws.com/brewerydbapi/beer/O4MTYC/upload_bhjF5I-large.png","1","Year Round","N"
"8eyXN7","Blonde Bock","Blonde Bock Bock beers are represented by a male goat, which in German lore symbolizes strength and virility. In accordance with the Reinheitsgebot (German Purity Law of 1516), bock beers must have a pre-fermentation malt sugar concentration of 16%, which converts over to at least 7% alcohol after fermentation. These strong beers were made popular in the early 1600s by monks in order to minimize their hunger during fasting periods. While most bocks are dark, Blonde Bock is golden-colored and malty with a rich, creamy head. The rich flavor is counterbalanced with just the right level of bitterness from the Hallertau aroma hops and create a very smooth profile.","88","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/8eyXN7/upload_dZbRVc-large.png","1","Year Round","N"
"EaoR0H","312 Urban Wheat Ale","Inspired by the city of Chicago and densely populated with flavor, 312s spicy aroma of Cascade hops is followed by a crisp, fruity ale flavor delivered in a smooth, creamy body that's immensely refreshing.","112","Weizen","Weizen","http://s3.amazonaws.com/brewerydbapi/beer/EaoR0H/upload_r1Sgk2-large.png","1","Year Round","N"
"sfYViV","Stoudt's American Pale Ale","This uniquely American beer offers a crisp, medium body with a light amber color.  Generous additions of Cascade hops provide a refreshing bitterness and vibrant citrus aroma.","25","Pint","Pint","","1","Year Round","N"
"CK3s3j","Espresso Amber Ale","A robust amber ale brewed with locally roasted, organic fair trade espresso with help from our friends down the street at Coffee by Design. This malty amber ale is brewed with substantial amounts of Munich Malt, providing a perfect backbone for the rich, roasty flavor imparted by the espresso.

Peak Espresso Amber is the first Fair Trade Certified beer brewed in the United States.","125","Pint","Pint","","","","N"
"0TZtps","Oak Aged Yeti Imperial Stout","This unique version of our monstrous Yeti Imperial Stout is aged for 9 months in Stranahan's Colorado Whiskey barrels and then bottle conditioned. The spirited aging process produces a hugely complex but mellowed Yeti, with its signature roasted flavors, hints of vanilla and oak, and a whiskeyed finish. Who says you can't tame a beast?","43","","","http://s3.amazonaws.com/brewerydbapi/beer/0TZtps/upload_9PzgUY-large.png","4","Seasonal","N"
"ZbXjuu","Fresh Hop Pale Ale","Taking advantage of the late-summer hop harvest, Great Divide searched for the perfect combination of fresh, whole cone hops to create the distinctive hop profile of Fresh Hop Pale Ale. The September hop harvest is a once-a-year opportunity to brew with fresh hops, also called wet hops. Using fresh hops is a big endeavor, as the process requires four to five times the volume of hops compared to the normal process of using pelletized hops. Brewing with fresh hops brings impressive results. Fresh Hop is a superbly refreshing, medium-bodied, light-copper colored American-style pale ale. It has moderate hop bitterness, marked by a unique and intensely grassy hop flavor and aroma.","25","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/ZbXjuu/upload_o0Dic4-large.png","4","Seasonal","N"
"aywDqA","Espresso Oak Aged Yeti","Espresso Oak Aged Yeti is a new additiontothe Yeti clan. A generous infusion of Denver's own Pablo's espresso adds yet another layer of complexity to this beer, combining with the vanilla oak character, intense roasty maltiness and bold hop profile to create a whole new breed of mythical creature. 

Its official: You can now have Yeti with breakfast.","43","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/aywDqA/upload_K5Ydvx-large.png","4","Seasonal","N"
"xgO0Do","Hefeweizen","Meet the beer that started it all. Our naturally cloudy flagship brew starts with the highest quality wheat. It's bold, clean flavor and pronounced citrus and floral aromas are what define american-style hefeweizen. So pour yourself a cool, cloudy glass, finish with a lemon and enjoy the original.","48","Weizen","Weizen","http://s3.amazonaws.com/brewerydbapi/beer/xgO0Do/upload_MRAmOe-large.png","1","Year Round","N"
"MBEhFB","Copper Ale","Copper Ale, a medium bodied, amber ale inspired by the Altbiers of Northern Germany. Brewed with six different malts, three hop varieties and our special house yeast, Copper Ale is characterized by a well-balanced blend of malty notes and mild bitterness.","55","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/MBEhFB/upload_iRLJOS-large.png","1","Year Round","N"
"QG6D7D","Maharaja Imperial IPA","Maharaja is derived from the sanskrit words mahat, - ""great"" and rajan - ""king"". Much like its namesake, this imperial IPA is regal, intense and mighty. With hops and malts as his servants, he rules both with a heavy hand. The Maharaja flaunts his authority over a deranged amount of hops: tangy, vibrant and pungent along with an insane amount of malted barley - fashioning a dark amber hue and exquisite malt essence.

Be aware that The Maharaja is a limited release only available for the summer. Welcome to his kingdom!","31","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/QG6D7D/upload_MZn6Mb-large.png","4","Seasonal","N"
"jdulDH","Trade Winds Tripel","Our Summer seasonal, Trade Winds Tripel is a Belgian-style Golden Ale with a Southeast Asian twist. Instead of using candi sugar (typical for such a beer), we use rice in the mash to lighten the body and increase the gravity, and spice with Thai Basil. The result is an aromatic, digestible and complex beer made for a lazy summer evening.","59","","","","","","N"
"Z6IEHr","Prior 8","This noble delicious beer with a high fermentation has a ruby purple colour with a full malty and fruity taste (8% alcohol content). 

This beer has a beautiful round froth due to the second fermentation with a taste that creates a perfect balance between sweet and sour.","58","","","","","","N"
"j3AdRz","Winter Session Ale","This winter wheat beer uses dark malting to provide subtle toasty notes. We then single-hop and dry-hop this beer with Citra hops from our friend Brads farm. Interesting pineapple notes from the Citra hop provide a stark contrast to the toasty notes in the body. An engaging and sessionable Winter Seasonal.","52","Pint","Pint","","8","Winter","N"
"LMtRbQ","IPA","This unique India Pale Ale features our favorite hopsSimcoe, Amarillo and Nugget. A generous Amarillo and Simcoe dry hop provide for an assertive, hop-forward nose and front palate. We dont use traditional bittering hops in our IPA, providing nothing but stimulating citrus and floral characteristics.

Inspired by a recipe from our good friend and fellow homebrewer Tim from the North Shore Homebrewers Club.","30","Pint","Pint","","1","Year Round","N"
"r9nypM","Double Dog Double Pale Ale","Double Dog Double Pale Ale is a generously hopped ale with a deep red color and pours with a nice frothy head. The abundance of hops will conjure some provocative aromas with hints of raisins and citrus.","31","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/r9nypM/upload_EnMELu-large.png","1","Year Round","N"
"BfyWi5","Chemung Canal Towpath Ale","This style of beer is classified as an ""English-Style Summer Ale"". The focus is on the malts used during the brewing process. Our version of this beer uses malts imported from England. The taste is extremely mild, sweet and refreshing.","6","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/BfyWi5/upload_Bb6P1z-large.png","1","Year Round","N"
"VrC2d6","Organic E.S.B.","One of the few beers brewed in the world using 100% certified organic ingredients  including the hops! 

A classic British style Extra Special Bitter that pours a brilliant amber with a nice off-white head. Organic Saphir hops lend a citrusy bite to the malty flavor to yield a very refreshing taste.","4","Pint","Pint","","1","Year Round","N"
"DoN2gk","Iroquois Wheat Beer","This style of beer is classified as an American Wheat Ale, not to be confused with the German unfiltered version - Hefe Weizen. The focus is on the wheat used during the brewing process. Our version is filtered and slightly ""off the beaten path"" with a dry ""hoppy"" finish.","113","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/DoN2gk/upload_lWp1Eu-large.png","4","Seasonal","N"
"Lzmxub","Lakefront White","Our version of a Belgian classic, brewed with wheat malt and spiced with coriander and orange peel. Pours a beautiful hazy blond-gold with a thick pearly white head. The nose is yeasty with a light aroma of fruit and spice. This beer is as crisp and refreshing as the aroma implies, with the wheat malt supplying a full, somewhat sweet background to the orange and coriander flavor. Spritzy carbonation lifts the sweetness to lend a crisp finish. A great beer for a warm summer day.","65","Pint","Pint","","4","Seasonal","N"
"C6EUeD","Duck-Rabbit Milk Stout","The Duck-Rabbit Milk Stout is a traditional full-bodied stout brewed with lactose (milk sugar). The subtle sweetness imparted by the lactose balances the sharpness of the highly roasted grains which give this delicious beer its black color.","20","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/C6EUeD/upload_OQYmDx-large.png","1","Year Round","N"
"fdoXV7","Stranger","Initial impressions are not always reality, so you must delve deeper. Beyond the initial floral hop aromas, malt sweetness is revealed, yet with a spicy undertone that exposes a very rye sense of humor. Take your time to get to know the Stranger. Its strangely satisfying.","25","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/fdoXV7/upload_ZSAJnD-large.png","","","N"
"onoKyE","Old Brown Dog Ale","Old Brown Dog has been cited as a classic example of the American Brown Ale style of beer. Compared to a typical English Brown Ale, Old Brown Dog is fuller-bodied and more strongly hopped.

Old Brown Dog has been around for many years. It was first brewed in 1988 at the Northampton Brewery. In 1989 it won a silver medal in its category (American Brown Ale) at the Great American Beer Festival in Denver.","37","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/onoKyE/upload_XIkws0-large.png","1","Year Round","N"
"3RFxH6","Finestkind IPA","Portsmouth is a colonial era seaport town, so it goes to follow that sooner or later we'd brew an India Pale Ale as a tribute to those big, hoppy 19th century ales that made the long sea voyage from England's temperate shores, 'round the Cape of Good Hope, to the sultry climes of the faraway East Indies.

But there's another reason we brewed this beer, one that's closer to our home and hearts. Hopheads. 

Ten years ago we brewed our first batch of Shoals Pale Ale, our American interpretation of the traditional British ESB (Extra Special Bitter) style. At the time, it was widely considered to be darned hoppy. However, a funny thing happened over the last decade - our Shoals Pale Ale didn't change; beer lovers did, and we started to hear more and more: Why don't you guys make a really hoppy beer?

You could say, then, that Smuttynose IPA is a physical salute to the glory of the American hop grower. The citrusy hop flavor coming from a mixture of Simcoe and Santiams is pleasantly balanced by a smooth bitterness from the Amarillo hops. The beer itself is light bodied and crisp with a golden color that will throw a slight haze, as we bottle it unfiltered. At 65 IBU's, this is definitely not a training-wheels IPA, but is meant for hop lovers looking to satisfy their craving in a way that's not easy to find. We think theyll be quite pleased.","30","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/3RFxH6/upload_ChVh6v-large.png","1","Year Round","N"
